Feature Name,Target,Diameter,Center Latitude,Center          Longitude,Feature Type,Approval Date,Origin
Arubani Fluctus,Venus,620.00,-55.00,132.00,"Fluctus, fluctūs",1997,Urartu supreme goddess.
Aruru Corona,Venus,450.00,9.00,262.00,"Corona, coronae",1994,Sumerian earth goddess.
Asherat Colles,Venus,500.00,12.00,162.00,"Collis, colles",2003,Phoenician goddess known as “;Asherat-of-the-Sea.“;
Ashnan Corona,Venus,300.00,50.20,357.00,"Corona, coronae",1994,Sumerian harvest goddess.
Ashtart Tholus,Venus,138.00,48.70,247.00,"Tholus, tholi",1985,"Phoenician goddess of love, fertility and war; personification of planet Venus."
Asiaq Dorsa,Venus,400.00,-53.00,55.00,"Dorsum, dorsa",1997,Eskimo weather goddess.
Asintmah Corona,Venus,150.00,25.90,208.00,"Corona, coronae",2006,Athabaskan (W. Canada Subarctic) Earth and nature goddess; the first woman on Earth.
Asmik,Venus,19.50,3.90,166.40,"Crater, craters",1994,Armenian first name.
Asomama Corona,Venus,180.00,23.30,21.60,"Corona, coronae",2000,Quechua potato goddess.
Aspasia Corona,Venus,200.00,56.10,189.10,"Corona, coronae",1997,One of most outstanding women of ancient Greece (c. 470-429 B.C.).
[Aspasia Patera],Venus,200.00,56.40,189.00,"Patera, paterae",1985,One of most outstanding women of ancient Greece (c. 470-429 B.C.).
Asteria Regio,Venus,1131.00,21.60,267.50,"Regio, regiones",1982,Greek Titaness.
Astkhik Planum,Venus,2000.00,-45.00,20.00,"Planum, plana",1997,Armenian goddess of love.
Astrid,Venus,10.50,-21.40,335.20,"Crater, craters",1991,Scandinavian first name.
Atahensik Corona,Venus,700.00,-19.00,170.00,"Corona, coronae",1997,"Huron/Iroquois goddess, creator of the sun and moon."
Atai Mons,Venus,250.00,-22.00,291.00,"Mons, montes",1997,Efik (Ghana) wife of sky god Abassi.
Atalanta Planitia,Venus,2050.00,45.60,165.80,"Planitia, planitiae",1982,Greek mythical heroine.
Atanua Mons,Venus,1000.00,9.50,308.90,"Mons, montes",1997,Dawn goddess from Marquesas Islands.
Atargatis Corona,Venus,360.00,-8.00,8.60,"Corona, coronae",1994,Hittite fertility goddess.
Atete Corona,Venus,600.00,-16.00,243.50,"Corona, coronae",1994,Oromo (Ethiopia) fertility goddess.
Athena Tessera,Venus,1800.00,35.00,175.00,"Tessera, tesserae",1997,Greek goddess of wisdom.
Atira Mons,Venus,152.00,52.20,267.60,"Mons, montes",1985,Pawnee (N. America) wife of Great Spirit Tirawa.
Atla Regio,Venus,3200.00,9.20,200.10,"Regio, regiones",1982,"Norse giantess, mother of Heimdall."
Atropos Tessera,Venus,469.00,71.50,304.00,"Tessera, tesserae",1985,Greek; one of three Fates.
Atse Estsan Corona,Venus,150.00,8.50,92.00,"Corona, coronae",1994,Navajo fertility goddess.
Atsyrkhus Mons,Venus,170.00,-78.50,227.00,"Mons, montes",1997,"Ossetian, daughter of sun god Khur."
Attabeira Corona,Venus,240.00,-1.50,211.50,"Corona, coronae",2003,Taino (Puerto Rico) fertility goddess.
Audhumla Corona,Venus,225.00,45.50,12.00,"Corona, coronae",1994,Norse primordial nourisher.
Audra Planitia,Venus,1900.00,61.00,72.00,"Planitia, planitiae",1991,Lithuanian sea mistress.
Audrey,Venus,15.20,23.80,348.10,"Crater, craters",1994,English first name.
Aurelia,Venus,31.10,20.30,331.80,"Crater, craters",1991,Mother of Julius Caesar.
Auska Dorsum,Venus,361.00,59.90,357.80,"Dorsum, dorsa",1985,Lithuanian goddess of sun rays.
Aušrā Dorsa,Venus,859.00,49.40,25.30,"Dorsum, dorsa",1985,Lithuanian dawn goddess.
Austen,Venus,45.10,-25.00,168.40,"Crater, craters",1994,Jane; English novelist (1775-1817).
Austrina Vallis,Venus,600.00,-49.50,177.00,"Vallis, valles",1997,Latvian name for planet Venus.
Avene,Venus,10.00,40.40,149.40,"Crater, craters",1997,Akan (Ghana) first name.
Avfruvva Vallis,Venus,70.00,2.00,70.00,"Vallis, valles",1994,Saami (Lapp) river goddess.
Avviyar,Venus,20.60,-18.00,353.70,"Crater, craters",1991,Tamil poet (c. 100 B.C.).
Awenhai Mons,Venus,100.00,-60.00,248.00,"Mons, montes",1997,Mohawk/Iroquois fertility goddess.
Ayana,Venus,13.80,-29.20,175.50,"Crater, craters",1994,Altai first name.
Ayashe,Venus,6.70,22.70,31.40,"Crater, craters",1997,Hausa first name.
Ayisatu,Venus,7.00,34.60,5.50,"Crater, craters",1997,Fulbe first name.
Ayrton Patera,Venus,85.00,6.00,227.30,"Patera, paterae",1994,Hertha M.; English physicist (1854-1923).
Azham Corona,Venus,380.00,66.40,252.70,"Corona, coronae","Dec 09, 2009",Karachay and Balkar (N. Caucasus) great goddess of the nature forces.
Azimua Tholi,Venus,40.00,-34.05,249.35,"Tholus, tholi",2006,Sumerian underworld goddess.
Baba-Jaga Chasma,Venus,580.00,53.20,49.50,"Chasma, chasmata",1985,Slavic forest witch.
Bachira,Venus,7.30,26.50,10.00,"Crater, craters",1997,Algerian first name.
Bachue Corona,Venus,463.00,73.30,261.40,"Corona, coronae",1985,Chibcha (Colombia) goddess of fertility.
Badarzewska,Venus,29.60,-22.60,137.20,"Crater, craters",1991,Thekla; Polish composer (1834-1861).
Badb Linea,Venus,1750.00,14.00,15.00,"Linea, lineae",1997,Irish war goddess.
Bagbartu Mons,Venus,600.00,65.50,279.00,"Mons, montes",1997,"Urartu goddess, worshipped at Musasir."
Ba'het Corona,Venus,145.00,48.40,0.10,"Corona, coronae",1997,Egyptian goddess of wealth and abundance.
[Ba'het Patera],Venus,145.00,48.40,0.10,"Patera, paterae",1991,Egyptian goddess of wealth and abundance.
Bahriyat,Venus,5.00,50.30,357.50,"Crater, craters",1997,Kumyk (Daghestan) first name.
Baker,Venus,109.00,62.50,40.30,"Crater, craters",1994,"Josephine; American expatriate dancer, singer (1906-1975)."
Bakhtadze Patera,Venus,50.00,45.50,219.50,"Patera, paterae",1997,Kseniya; Georgian tea geneticist (1899-1978).
Bakisat,Venus,7.40,26.00,356.80,"Crater, craters",1997,Chechen first name.
Balch,Venus,40.00,29.90,282.90,"Crater, craters",1994,"Emily; American economist, Nobel laureate (1867-1961)."
Baltis Vallis,Venus,6000.00,37.30,161.40,"Vallis, valles",1994,Syrian word for planet Venus.
Banba Corona,Venus,110.00,-47.20,209.20,"Corona, coronae",1997,Irish earth goddess.
